rownames,project_id,date,type
918,294,2014-01-01 ,1
919,294,2014-12-31 ,8
920,295,2014-01-01 ,1
921,295,2015-12-31 ,8
922,296,2014-01-01 ,1
923,296,2014-01-20 ,2
924,296,2014-01-01 ,4
925,296,2020-12-01 ,8
926,296,2014-11-13 ,16
927,296,2017-09-19 ,32
928,296,2014-04-30 ,128
929,296,2015-10-11 ,256
930,296,2021-03-02 ,2048
931,297,2014-01-01 ,1
932,297,2015-12-31 ,8
933,298,2013-10-31 ,1
934,298,2013-12-31 ,8
935,299,2014-01-01 ,1
936,299,2015-12-31 ,8
937,300,2014-01-01 ,1
938,300,2014-12-31 ,8
939,301,2014-01-01 ,1
940,301,2014-12-31 ,8
941,303,2014-01-01 ,1
942,303,2014-12-31 ,8
943,304,2014-01-01 ,1
944,304,2014-12-31 ,8
945,305,2014-01-01 ,1
946,305,2014-12-31 ,8
947,306,2014-02-01 ,1
948,306,2014-12-31 ,8
949,307,2014-01-01 ,1
950,307,2014-12-31 ,8
951,308,2014-02-01 ,1
952,308,2015-12-31 ,8
953,309,2014-02-01 ,1
954,309,2015-12-31 ,8
955,310,2014-02-01 ,1
956,310,2014-12-31 ,8
957,311,2014-01-01 ,1
958,311,,2
959,311,2014-12-31 ,8
960,311,,16
961,311,,32
962,311,,64
963,311,,2048
964,312,2014-01-01 ,1
965,312,2014-12-31 ,8
966,313,2014-01-01 ,1
967,313,2015-12-31 ,8
968,314,2014-01-01 ,1
969,314,2014-12-31 ,8
970,315,2013-12-01 ,1
971,315,2014-12-31 ,8
972,316,2013-10-01 ,1
973,316,2013-10-01 ,2
974,316,2013-10-01 ,4
975,316,2017-12-31 ,8
976,317,2013-01-01 ,1
977,317,,2
978,317,2029-12-01 ,8
979,317,,16
980,317,,32
981,317,,64
982,317,,2048
983,318,2013-12-01 ,1
984,318,2013-12-31 ,8
985,319,2014-01-01 ,1
986,319,2015-12-31 ,8
987,320,2014-01-07 ,1
988,320,2014-12-31 ,8
989,321,2014-01-01 ,1
990,321,,2
991,321,2014-12-31 ,8
992,321,,16
993,321,,32
994,321,,64
995,321,,2048
996,322,2014-01-20 ,1
997,322,,2
998,322,2014-03-31 ,8
999,322,,16
1000,322,,32
1001,322,,64
1002,322,,2048
1003,323,2014-01-01 ,1
1004,323,2021-12-01 ,8
1005,324,2014-01-01 ,1
1006,324,2021-12-01 ,8
1007,325,2014-01-01 ,1
1008,325,2021-12-01 ,8
1009,326,2014-01-01 ,1
1010,326,2014-12-31 ,8
1011,328,2014-01-20 ,1
1012,328,,2
1013,328,2014-04-30 ,8
1014,328,,16
1015,328,,32
1016,328,,64
1017,328,,2048
1018,329,2014-01-29 ,1
1019,329,,2
1020,329,2014-04-30 ,8
1021,329,,16
1022,329,,32
1023,329,,64
1024,329,,2048
1025,330,2014-01-01 ,1
1026,330,2014-05-31 ,8
1027,332,2014-01-01 ,1
1028,332,,2
1029,332,2014-12-01 ,8
1030,332,,16
1031,332,,32
1032,332,,64
1033,332,,2048
1034,333,2014-01-01 ,1
1035,333,,2
1036,333,2016-12-01 ,8
1037,333,,16
1038,333,,32
1039,333,,64
1040,333,,2048
1041,334,2014-01-20 ,1
1042,334,2014-05-30 ,8
1043,335,2014-02-03 ,1
1044,335,,2
1045,335,2014-12-31 ,8
1046,335,,16
1047,335,,32
1048,335,,64
1049,335,,2048
1050,336,2014-01-01 ,1
1051,336,2015-12-31 ,8
1052,337,2014-02-15 ,1
1053,337,2014-02-01 ,2
1054,337,2014-02-01 ,4
1055,337,2014-05-31 ,8
1056,337,2014-03-01 ,16
1057,337,2014-04-01 ,32
1058,337,2014-02-01 ,64
1059,337,2014-04-01 ,256
1060,337,2014-05-01 ,512
1061,337,,2048
1062,338,2014-01-15 ,1
1063,338,,2
1064,338,2014-08-30 ,8
1065,338,,16
1066,338,,32
1067,338,,64
1068,338,,2048
1069,339,2014-03-01 ,1
1070,339,,2
1071,339,2014-08-01 ,8
1072,339,,16
1073,339,,32
1074,339,,64
1075,339,,2048
1076,340,2014-03-06 ,1
1077,340,,2
1078,340,2014-11-04 ,8
1079,340,,16
1080,340,,32
1081,340,,64
1082,340,,2048
1083,341,2014-02-01 ,1
1084,341,2014-08-01 ,8
1085,342,2014-02-01 ,1
1086,342,,2
1087,342,2015-12-31 ,8
1088,342,,16
1089,342,,32
1090,342,,64
1091,342,,2048
1092,343,2014-03-17 ,1
1093,343,,2
1094,343,2014-06-30 ,8
1095,343,,16
1096,343,,32
1097,343,,64
1098,343,,2048
