rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1606,34499610,2018,11682.34,,528,11682.34
1607,34499611,2019,9082,,528,9082
1608,34499612,2021,19282,,528,7711.44
1609,34499613,2020,19551.31,,528,19551.31
1610,34499614,2015,6849.79,,528,6849.79
1611,34499615,2017,64627.3,,549,64627.3
1612,34499616,2019,133249.95,,549,133249.95
1613,34499617,2021,206497.25,,549,64205.04
1614,34499618,2016,150,,549,150
1615,34499619,2020,152562.41,,549,152562.41
1616,34499620,2018,112393.07,,549,112393.07
1617,34499621,2017,53562.5,,558,53562.5
1618,34499622,2020,834.11,,558,834.11
1619,34499623,2019,25737.75,,558,25737.75
1620,34499624,2016,34109.83,,558,34109.83
1621,34499625,2018,51346.23,,558,51346.23
1622,34499626,2021,14054,,564,1197.9
1623,34499627,2019,108443.96,,564,108443.96
1624,34499628,2020,9798.42,,564,9798.42
1625,34499629,2018,89321.93,,564,89321.93
1626,34499630,2017,66087.77,,564,66087.77
1627,34499631,2016,16492.13,,564,16492.13
1628,34499632,2017,4008.58,,572,4008.58
1629,34499633,2020,0,,572,0
1630,34499634,2021,7142.65,,572,0
1631,34499635,2019,2562.21,,572,2562.21
1632,34499636,2018,3123.57,,572,3123.57
1633,34499637,2016,4595.82,,572,4595.82
1634,34499638,2019,35773.41,,574,35773.41
1635,34499639,2021,40000,,574,8170.4
1636,34499640,2016,41806.65,,574,41806.65
1637,34499641,2018,33323.79,,574,33323.79
1638,34499642,2020,30924,,574,30924
1639,34499643,2017,33584.6,,574,33584.6
1640,34499644,2016,104.14,,575,104.14
1641,34499645,2021,28800,,575,1117.78
1642,34499646,2014,3152.78,,575,3152.78
1643,34499647,2017,10075.54,,575,10075.54
1644,34499648,2020,984.58,,575,984.58
1645,34499649,2019,3662.1,,575,3662.1
1646,34499650,2015,5984.37,,575,5984.37
1647,34499651,2013,1923.01,,575,1923.01
1648,34499652,2018,3372.08,,575,3372.08
1649,34499653,2019,143675.2,,576,143675.2
1650,34499654,2021,163178.6,,576,49189.93
1651,34499655,2016,132226.5,,576,132226.5
1652,34499656,2018,88228.73,,576,88228.73
1653,34499657,2020,264532.8,,576,264532.8
1654,34499658,2017,93186.98,,576,93186.98
1655,34499659,2017,26954.47,,578,26954.47
1656,34499660,2019,331.28,,578,331.28
1657,34499661,2021,9140,,578,0
1658,34499662,2016,17733.69,,578,17733.69
1659,34499663,2018,281.8,,578,281.8
1660,34499664,2017,0,,581,0
1661,34499665,2019,0,,581,0
1662,34499666,2021,914,,581,0
1663,34499667,2018,0,,581,0
1664,34499668,2020,0,,581,0
1665,34499669,2018,1806.3,,586,1806.3
1666,34499670,2019,0,,586,0
1667,34499671,2017,0,,586,0
1668,34499672,2020,0,,586,0
1669,34499673,2021,7070,,586,0
1670,34499674,2016,0,,586,0
1671,34499675,2018,0,,597,0
1672,34499676,2017,262.8,,597,262.8
1673,34499677,2019,0,,597,0
1674,34499678,2021,5484,,597,0
1675,34499679,2020,0,,597,0
1676,34499680,2017,60.8,,601,60.8
1677,34499681,2018,0,,601,0
1678,34499682,2020,0,,601,0
1679,34499683,2021,16452,,601,0
1680,34499684,2019,0,,601,0
