rownames,project_id,date,type
757,225,2015-12-01 ,8
758,225,,16
759,225,,32
760,225,,64
761,225,,2048
762,226,2013-01-01 ,1
763,226,,2
764,226,2014-12-31 ,8
765,226,,16
766,226,,32
767,226,,64
768,226,,2048
769,227,2013-01-01 ,1
770,227,,2
771,227,2014-12-31 ,8
772,227,,16
773,227,,32
774,227,,64
775,227,,2048
776,228,2013-01-01 ,1
777,228,2014-12-01 ,2
778,228,2014-12-31 ,8
779,228,,16
780,228,,32
781,228,,64
782,228,,2048
783,229,2013-01-01 ,1
784,229,2016-12-31 ,8
785,230,2013-01-01 ,1
786,230,2015-12-31 ,8
787,231,2013-01-01 ,1
788,231,2015-12-31 ,8
789,233,2013-01-01 ,1
790,233,2014-12-31 ,8
791,234,2013-01-01 ,1
792,234,2014-12-31 ,8
793,235,2013-01-01 ,1
794,235,2014-12-31 ,8
795,236,2013-01-01 ,1
796,236,,2
797,236,2014-12-31 ,8
798,236,,16
799,236,,32
800,236,,64
801,236,,2048
802,238,2014-01-01 ,1
803,238,2014-12-31 ,8
804,239,2014-01-01 ,1
805,239,2015-12-31 ,8
806,240,2014-01-01 ,1
807,240,2014-12-31 ,8
808,241,2014-01-01 ,1
809,241,2015-12-31 ,8
810,242,2014-01-01 ,1
811,242,2015-12-31 ,8
812,243,2014-01-01 ,1
813,243,2014-12-31 ,8
814,244,2014-01-01 ,1
815,244,2015-12-31 ,8
816,245,2013-11-22 ,1
817,245,,2
818,245,2014-12-31 ,8
819,245,,16
820,245,,32
821,245,,64
822,245,,2048
823,246,2013-10-01 ,1
824,246,,2
825,246,2014-12-31 ,8
826,246,,16
827,246,,32
828,246,,64
829,246,,2048
830,247,2013-08-01 ,1
831,247,2014-10-31 ,8
832,249,2013-11-27 ,1
833,249,2017-03-01 ,2
834,249,2019-12-31 ,8
835,249,2015-09-01 ,16
836,249,2019-12-24 ,2048
837,253,2013-12-02 ,1
838,253,2013-12-02 ,2
839,253,2011-11-05 ,4
840,253,2018-12-31 ,8
841,253,2015-11-01 ,16
842,253,2014-04-24 ,64
843,253,2012-09-15 ,128
844,253,2019-01-04 ,2048
845,254,2013-01-01 ,1
846,254,2016-12-31 ,8
847,255,2014-01-01 ,1
848,255,2015-12-31 ,8
849,256,2014-01-01 ,1
850,256,2014-01-01 ,2
851,256,2014-01-01 ,4
852,256,2017-01-02 ,8
853,256,2015-02-02 ,16
854,256,2015-02-16 ,32
855,256,2014-01-01 ,64
856,256,2014-11-24 ,128
857,256,2015-11-01 ,512
858,257,2014-01-01 ,1
859,257,,2
860,257,2016-12-31 ,8
861,257,,16
862,257,,32
863,257,,64
864,257,,2048
865,258,2013-12-01 ,1
866,258,2014-12-31 ,8
867,259,2013-12-01 ,1
868,259,2013-12-09 ,2
869,259,2013-12-10 ,4
870,259,2021-12-01 ,8
871,259,2015-11-18 ,16
872,259,2015-03-02 ,64
873,259,2014-01-30 ,128
874,259,2022-06-30 ,2048
875,260,2013-12-12 ,1
876,260,,2
877,260,2014-12-31 ,8
878,260,,16
879,260,,32
880,260,,64
881,260,,2048
882,261,2014-01-01 ,1
883,261,2014-12-31 ,8
884,271,2013-10-01 ,1
885,271,,2
886,271,2014-12-31 ,8
887,271,,16
888,271,,32
889,271,,64
890,271,,2048
891,272,2014-01-01 ,1
892,272,2014-01-01 ,2
893,272,2014-01-01 ,4
894,272,2018-12-31 ,8
895,272,2015-04-01 ,16
896,272,2017-10-01 ,32
897,272,2017-10-01 ,256
898,272,2017-12-15 ,512
899,272,2019-01-04 ,2048
900,273,2014-01-01 ,1
901,273,2015-12-31 ,8
902,279,2013-12-02 ,1
903,279,2014-12-31 ,8
904,280,2014-01-01 ,1
905,280,2014-12-31 ,8
906,281,2014-01-01 ,1
907,281,2014-12-31 ,8
908,282,2014-01-01 ,1
909,282,2014-12-31 ,8
910,283,2014-01-01 ,1
911,283,2016-12-31 ,8
912,287,2013-01-01 ,1
913,287,2015-12-31 ,8
914,288,2014-01-01 ,1
915,288,2015-12-31 ,8
916,289,2014-01-01 ,1
917,289,2014-12-31 ,8
918,290,2014-01-01 ,1
919,290,2014-12-31 ,8
920,291,2013-01-01 ,1
921,291,2013-12-31 ,8
922,293,2014-01-01 ,1
923,293,2015-12-31 ,8
924,294,2014-01-01 ,1
925,294,2014-12-31 ,8
926,295,2014-01-01 ,1
927,295,2015-12-31 ,8
928,296,2014-01-01 ,1
929,296,2014-01-20 ,2
930,296,2014-01-01 ,4
931,296,2020-12-01 ,8
932,296,2014-11-13 ,16
933,296,2017-09-19 ,32
934,296,2014-04-30 ,128
935,296,2015-10-11 ,256
936,296,2021-03-02 ,2048
937,297,2014-01-01 ,1
938,297,2015-12-31 ,8
939,298,2013-10-31 ,1
940,298,2013-12-31 ,8
941,299,2014-01-01 ,1
942,299,2015-12-31 ,8
943,300,2014-01-01 ,1
944,300,2014-12-31 ,8
945,301,2014-01-01 ,1
946,301,2014-12-31 ,8
947,303,2014-01-01 ,1
948,303,2014-12-31 ,8
949,304,2014-01-01 ,1
950,304,2014-12-31 ,8
951,305,2014-01-01 ,1
952,305,2014-12-31 ,8
953,306,2014-02-01 ,1
954,306,2014-12-31 ,8
955,307,2014-01-01 ,1
956,307,2014-12-31 ,8
957,308,2014-02-01 ,1
958,308,2015-12-31 ,8
959,309,2014-02-01 ,1
960,309,2015-12-31 ,8
961,310,2014-02-01 ,1
962,310,2014-12-31 ,8
963,311,2014-01-01 ,1
964,311,,2
965,311,2014-12-31 ,8
966,311,,16
967,311,,32
968,311,,64
969,311,,2048
970,312,2014-01-01 ,1
971,312,2014-12-31 ,8
972,313,2014-01-01 ,1
973,313,2015-12-31 ,8
974,314,2014-01-01 ,1
975,314,2014-12-31 ,8
976,315,2013-12-01 ,1
977,315,2014-12-31 ,8
978,316,2013-10-01 ,1
979,316,2013-10-01 ,2
980,316,2013-10-01 ,4
981,316,2017-12-31 ,8
982,317,2013-01-01 ,1
983,317,,2
984,317,2029-12-01 ,8
985,317,,16
986,317,,32
987,317,,64
988,317,,2048
989,318,2013-12-01 ,1
990,318,2013-12-31 ,8
991,319,2014-01-01 ,1
992,319,2015-12-31 ,8
993,320,2014-01-07 ,1
994,320,2014-12-31 ,8
995,321,2014-01-01 ,1
996,321,,2
997,321,2014-12-31 ,8
998,321,,16
999,321,,32
1000,321,,64
1001,321,,2048
1002,322,2014-01-20 ,1
1003,322,,2
1004,322,2014-03-31 ,8
1005,322,,16
1006,322,,32
1007,322,,64
1008,322,,2048
1009,323,2014-01-01 ,1
1010,323,2021-12-01 ,8
1011,323,2022-02-11 ,2048
1012,324,2014-01-01 ,1
1013,324,2021-12-01 ,8
1014,324,2022-02-11 ,2048
1015,325,2014-01-01 ,1
1016,325,2021-12-01 ,8
1017,325,2022-02-11 ,2048
1018,326,2014-01-01 ,1
1019,326,2014-12-31 ,8
1020,328,2014-01-20 ,1
1021,328,,2
1022,328,2014-04-30 ,8
1023,328,,16
1024,328,,32
1025,328,,64
1026,328,,2048
1027,329,2014-01-29 ,1
1028,329,,2
1029,329,2014-04-30 ,8
1030,329,,16
1031,329,,32
1032,329,,64
1033,329,,2048
1034,330,2014-01-01 ,1
1035,330,2014-05-31 ,8
1036,332,2014-01-01 ,1
1037,332,,2
1038,332,2014-12-01 ,8
1039,332,,16
1040,332,,32
1041,332,,64
1042,332,,2048
1043,333,2014-01-01 ,1
1044,333,,2
1045,333,2016-12-01 ,8
1046,333,,16
1047,333,,32
1048,333,,64
1049,333,,2048
1050,334,2014-01-20 ,1
1051,334,2014-05-30 ,8
1052,335,2014-02-03 ,1
1053,335,,2
1054,335,2014-12-31 ,8
