rownames,project_zone_id,country_id,region_id,place_id,project_id
1410,6143,76,,,224
1411,6145,285,,,1066
1412,6146,13,3274,,1353
1413,6147,76,447,15,38
1414,6149,1,542,,1226
1415,6150,1,543,,1275
1416,6151,1,542,,1275
1417,6152,4,414,165,1392
1418,6153,13,3252,51,1130
1419,6157,5,2820,44,974
1420,6159,46,1608,28,1349
1421,6160,15,2001,182,1321
1422,6161,35,1311,183,1341
1423,6163,46,1608,28,1320
1424,6164,1,543,11,1311
1425,6165,184,,,1048
1426,6166,84,,,1048
1427,6167,226,,,1048
1428,6168,194,,,1048
1429,6169,278,,,1048
1430,6170,56,,,1048
1431,6171,13,3270,,1408
1432,6172,7,1146,21,1151
1433,6173,15,2003,30,831
1434,6174,5,2816,,892
1435,6175,5,2817,,892
1436,6176,5,2818,,892
1437,6177,5,2819,,892
1438,6178,5,2820,,892
1439,6179,5,2821,,892
1440,6180,5,2823,,892
1441,6181,5,2824,,892
1442,6182,5,2825,,892
1443,6183,5,2822,,892
1444,6184,95,226,191,1412
1445,6185,5,2820,44,564
1446,6189,285,,,603
1447,6190,13,3232,48,1104
1448,6191,46,1608,28,1398
1449,6192,1,541,87,961
1450,6193,1,,,1243
1451,6194,9,,,1243
1452,6195,1,541,,1379
1453,6196,1,541,,1380
1454,6197,13,3270,52,53
1455,6198,13,3270,52,55
1456,6199,1,543,,1312
1457,6200,13,,,54
1458,6201,13,3270,52,438
1459,6202,83,194,5,601
1460,6203,282,3573,70,952
1461,6204,10,2080,35,49
1462,6205,10,2081,36,51
1463,6206,10,,,676
1464,6207,4,,,1198
1465,6208,12,,,1198
1466,6209,1,,,1198
1467,6210,84,,,875
1468,6211,56,,,875
1469,6212,285,,,1067
1470,6213,285,,,677
1471,6214,45,534,,1325
