rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,creuser_id,upddte,upduser_id,refqyear,refunit_price_eur,reftotal_cost,comptage_jours_qyear
73,1,14,@T_14_97332013,97,33,1,1,,2013,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0.5,-0,,,0,EUR,0,0,1245,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1.5
74,1,14,@T_14_97522013,97,52,1,1,,2013,-0,-2,-8,-17,-11,-10,-7,-4,-0,-0,-0,-0,,,0,EUR,0,0,48970,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,59
75,1,14,@T_14_97522014,97,52,1,1,,2014,-3,-0,-0,-0,-5,-15,-5,-5,-0,-0,-0,-0,,,0,EUR,0,0,27390,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,33
76,1,14,18fa6cbc-7c02-4cdc-b443-86e20d041c73,5,154,2,2,,2014,0,0,0,2,2,2,0,0,0,0,0,0,0,6,830,EUR,830,4980,0,0,0,0,,2013-12-10 ,52,2013-12-10 ,52,,,,
77,1,14,6b57be5f-14c7-4b77-a2af-4c279805bb80,97,52,1,1,,2014,0,0,0,15,15,15,0,0,0,0,0,0,0,45,830,EUR,830,37350,0,0,0,0,,2013-12-10 ,52,2013-12-10 ,52,,,,
78,1,14,d433ccbc-9138-410a-9f55-0cf235011afe,35,224,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XOF,0,0,0,0,0,0,,2013-12-10 ,52,2013-12-10 ,52,,,,
79,1,15,@A_15_1982013,198,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,811.04,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
80,1,15,@A_15_2002013,200,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,37.85,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
81,1,15,@A_15_2032013,203,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,1386.54,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
82,1,15,@A_15_2032014,203,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,3920.77,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
83,1,15,@A_15_2052013,205,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,832.21,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
84,1,15,@A_15_2052014,205,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,130,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
85,1,15,@A_15_2102014,210,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,30,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
86,1,15,@T_15_97152013,97,15,1,1,,2013,-0,-0,-0,-0,-10,-0,-0,-0,-0,-0,-0,-10,,,0,EUR,0,0,16600,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,20
87,1,16,@A_16_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,2475.69,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
88,1,16,@T_16_97202013,97,20,1,1,,2013,-0,-0,-0,-6,-24,-12,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,34860,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,42
89,1,16,@T_16_97332013,97,33,1,1,,2013,-0,-0,-0,-0,-1,-1,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,1660,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,2
90,1,17,@A_17_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,3776.9500000000003,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
91,1,17,@A_17_2142013,214,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,768.13,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
92,1,17,@A_17_2152013,215,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,3434.7200000000003,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
93,1,17,@A_17_2162013,216,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,439.8,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
