rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1196,40702037,2018,5982.5,,996,5982.5
1197,40702047,2019,413785.61,,1059,413785.61
1198,40702051,2019,1293.18,,1056,1293.18
1199,40702059,2018,0,,724,0
1200,40702060,2017,0,,724,0
1201,40702061,2019,0,,724,0
1202,40702062,2013,840863.37,,83,840863.37
1203,40702063,2018,6119.82,,83,6119.82
1204,40702064,2014,212031.32,,83,212031.32
1205,40702065,2016,38111.63,,83,38111.63
1206,40702066,2015,9487.34,,83,9487.34
1207,40702067,2017,70913.15,,83,70913.15
1208,40702068,2019,9841.65,,83,9841.65
1209,40702099,2018,54802.04,,881,54802.04
1210,40702100,2019,1017.2,,881,1017.2
1211,40702126,2017,0,,807,0
1212,40702127,2018,509.3,,807,509.3
1213,40702130,2019,2969.01,,970,2969.01
1214,40702131,2018,44,,970,44
1215,40702132,2019,0,,976,0
1216,40702140,2019,0,,1070,0
1217,40702141,2019,80,,801,80
1218,40702142,2018,3869.61,,801,3869.61
1219,40702152,2017,13648.35,,755,13648.35
1220,40702153,2019,2632.98,,755,2632.98
1221,40702154,2018,13104.01,,755,13104.01
1222,40702160,2019,199.98,,953,199.98
1223,40702161,2018,11825.29,,953,11825.29
1224,40702173,2016,3713.95,,661,3713.95
1225,40702174,2018,11323.78,,661,11323.78
1226,40702175,2017,2809.76,,661,2809.76
1227,40702176,2019,0,,661,0
1228,40702187,2018,59912.53,,249,59912.53
1229,40702188,2017,89415.86,,249,89415.86
1230,40702189,2016,103339.65,,249,103339.65
1231,40702190,2015,78536.89,,249,78536.89
1232,40702191,2014,4150,,249,4150
1233,40702192,2019,714.84,,249,714.84
1234,40702219,2018,53206.17,,741,53206.17
1235,40702220,2019,0,,741,0
1236,40702221,2017,2113.6,,741,2113.6
1237,40702222,2017,538.39,,598,538.39
1238,40702223,2019,2654.4,,598,2654.4
1239,40702224,2016,0,,598,0
1240,40702225,2018,6000,,598,6000
1241,40702226,2019,11005.06,,1039,11005.06
1242,40702227,2019,0,,990,0
1243,40702242,2019,0,,984,0
1244,40704657,2019,-0.3,,1037,-0.3
1245,40704658,2019,1658.57,,1086,1658.57
1246,40705087,2019,0,,993,0
1247,40706073,2019,0,,987,0
1248,40706074,2018,0,,987,0
1249,40707112,2018,2651.3,,825,2651.3
1250,40707113,2019,-1372.68,,825,-1372.68
1251,40707127,2018,0,,361,0
1252,40707128,2016,3878.9,,361,3878.9
1253,40707129,2014,29003.88,,361,29003.88
1254,40707130,2015,41372,,361,41372
1255,40707131,2019,0,,361,0
1256,40707132,2017,10264,,361,10264
1257,40707133,2020,0,,361,0
1258,40707155,2020,0,,1157,0
1259,40707198,2019,1094.95,,991,1094.95
1260,40707204,2016,2891.06,,493,2891.06
1261,40707205,2018,39449.24,,493,39449.24
1262,40707206,2015,4588.99,,493,4588.99
