rownames,axe1_analytical_section_permission_id,user_id,entity_id
496,1712,43,736
497,1714,11,725
498,1716,116,738
499,1717,124,608
500,1735,124,757
501,1742,12,762
502,1744,43,764
503,1746,16,684
504,1747,16,512
505,1748,16,740
506,1749,16,742
507,1750,16,748
508,1751,16,749
509,1752,16,750
510,1753,16,751
511,1757,112,768
512,1760,93,574
513,1776,43,770
514,1779,116,496
515,1781,17,650
516,1786,21,776
517,1788,112,778
518,1789,2,779
519,1790,25,780
520,1795,126,771
521,1797,99,785
522,1798,49,786
523,1801,11,788
524,1803,12,790
525,1804,93,791
526,1805,3,774
527,1812,47,793
528,1825,4,804
529,1827,37,806
530,1828,55,806
531,1835,43,807
532,1837,116,809
533,1841,99,812
534,1842,79,813
535,1846,112,817
536,1848,12,819
537,1849,25,789
538,1851,99,821
539,1859,116,828
540,1860,36,829
541,1861,25,181
542,1862,11,181
543,1864,56,736
544,1865,56,798
545,1892,36,622
546,1901,37,844
547,1902,37,845
548,1903,37,846
549,1904,55,844
550,1905,55,845
551,1906,55,846
552,1907,3,847
553,1912,79,795
554,1913,18,119
555,1914,79,721
556,1915,141,850
557,1916,33,851
558,1918,11,853
559,1934,30,781
560,1935,84,868
561,1936,3,869
562,1943,11,876
563,1945,11,878
564,1948,13,880
565,1950,17,882
566,1953,99,885
567,1954,99,886
568,1961,11,892
569,1964,11,895
570,1969,138,897
571,1983,56,879
572,1984,56,786
573,1991,148,914
574,1994,9,917
575,1995,13,918
576,1996,43,919
577,1997,56,685
578,1998,116,920
579,1999,43,921
580,2000,142,759
581,2003,152,50
582,2004,152,52
583,2005,152,84
584,2006,152,131
585,2009,152,702
586,2010,152,726
587,2011,152,736
588,2012,152,780
589,2016,152,801
590,2019,152,879
591,2033,43,936
592,2035,80,938
593,2037,138,939
594,2039,138,940
595,2040,43,941
596,2045,148,944
597,2047,18,943
598,2049,47,837
599,2051,20,811
600,2055,3,945
601,2056,37,946
602,2058,55,947
603,2059,84,948
604,2060,153,728
605,2073,84,635
606,2075,36,624
